Time,Planet0_x,Planet1_x,Planet2_x,Planet3_x,Planet0_y,Planet1_y,Planet2_y,Planet3_y
1.75,0.159065,-0.180127,-1.2585,-1.31037,0.10537,0.112492,-0.0903841,0.173847
1.76,0.160888,-0.183723,-1.26612,-1.30346,0.106674,0.0898307,-0.0820735,0.193299
1.77,0.161979,-0.185582,-1.27364,-1.29624,0.107941,0.0672493,-0.0732256,0.211586
1.78,0.162362,-0.185764,-1.28102,-1.28876,0.109128,0.0448698,-0.0638679,0.228758
1.79,0.162056,-0.184329,-1.28825,-1.28108,0.110197,0.0228055,-0.0540249,0.244862
1.8,0.161082,-0.181328,-1.29531,-1.27326,0.11111,0.00116297,-0.0437186,0.259938
1.81,0.159459,-0.176814,-1.30216,-1.26534,0.111831,-0.0199563,-0.0329688,0.27402
1.82,0.157206,-0.170832,-1.3088,-1.25737,0.112328,-0.040454,-0.0217929,0.28714
1.83,0.154338,-0.16343,-1.31521,-1.24938,0.112565,-0.0602335,-0.0102068,0.299324
1.84,0.150873,-0.154649,-1.32138,-1.24141,0.11251,-0.0791981,0.0017756,0.310596
1.85,0.146827,-0.144531,-1.32729,-1.23349,0.112128,-0.0972503,0.0141418,0.320976
1.86,0.142215,-0.133119,-1.33292,-1.22567,0.111385,-0.11429,0.0268808,0.330482
1.87,0.137055,-0.120455,-1.33828,-1.21796,0.110242,-0.130212,0.0399827,0.339131
1.88,0.131362,-0.106583,-1.34334,-1.21042,0.108662,-0.144906,0.0534387,0.346936
1.89,0.125155,-0.0915502,-1.34809,-1.20306,0.106601,-0.158254,0.0672413,0.353909
1.9,0.118454,-0.0754097,-1.35251,-1.19593,0.104016,-0.170129,0.0813834,0.360059
1.91,0.111281,-0.0582217,-1.3566,-1.18906,0.100855,-0.18039,0.095859,0.365397
1.92,0.103662,-0.0400575,-1.36032,-1.1825,0.0970633,-0.188884,0.110663,0.369929
1.93,0.0956297,-0.0210036,-1.36368,-1.17628,0.0925799,-0.195439,0.125789,0.373664
1.94,0.0872232,-0.00116784,-1.36664,-1.17046,0.0873353,-0.199862,0.141233,0.376606
1.95,0.0784928,0.0193124,-1.36918,-1.16507,0.0812521,-0.201939,0.156991,0.378762
